TaskNo,PartNo,MousePointX,MousePointY,Time
1,1,752,294,1023
1,1,752,294,1024
1,1,752,294,1025
1,1,752,294,1026
1,1,752,294,1027
1,1,752,294,1028
1,1,752,294,1029
1,1,752,294,1030
1,1,751,295,1031
1,1,751,295,1032
1,1,751,295,1033
1,1,751,295,1034
1,1,751,295,1035
1,1,751,295,1036
1,1,751,295,1037
1,1,751,295,1038
1,1,750,296,1039
1,1,750,296,1040
1,1,750,296,1041
1,1,750,296,1042
1,1,750,296,1043
1,1,750,296,1044
1,1,750,296,1045
1,1,750,296,1046
1,1,749,298,1047
1,1,749,298,1048
1,1,749,298,1049
1,1,749,298,1050
1,1,749,298,1051
1,1,749,298,1052
1,1,749,298,1053
1,1,749,298,1054
1,1,748,299,1055
1,1,748,299,1056
1,1,748,299,1057
1,1,748,299,1058
1,1,748,299,1059
1,1,748,299,1060
1,1,748,299,1061
1,1,748,299,1062
1,1,748,300,1063
1,1,748,300,1064
1,1,748,300,1065
1,1,748,300,1066
1,1,748,300,1067
1,1,748,300,1068
1,1,748,300,1069
1,1,748,300,1070
1,1,746,300,1071
1,1,746,300,1072
1,1,746,300,1073
1,1,746,300,1074
1,1,746,300,1075
1,1,746,300,1076
1,1,746,300,1077
1,1,746,300,1078
1,1,746,302,1079
1,1,746,302,1080
1,1,746,302,1081
1,1,746,302,1082
1,1,746,302,1083
1,1,746,302,1084
1,1,746,302,1085
1,1,746,302,1086
1,1,746,302,1087
1,1,746,302,1088
1,1,746,302,1089
1,1,746,302,1090
1,1,746,302,1091
1,1,746,302,1092
1,1,746,302,1093
1,1,746,302,1094
1,1,744,303,1095
1,1,744,303,1096
1,1,744,303,1097
1,1,744,303,1098
1,1,744,303,1099
1,1,744,303,1100
1,1,744,303,1101
1,1,744,303,1102
1,1,744,304,1103
1,1,744,304,1104
1,1,744,304,1105
1,1,744,304,1106
1,1,744,304,1107
1,1,744,304,1108
1,1,744,304,1109
1,1,744,304,1110
1,1,743,305,1111
1,1,743,305,1112
1,1,743,305,1113
1,1,743,305,1114
1,1,743,305,1115
1,1,743,305,1116
1,1,743,305,1117
1,1,743,305,1118
1,1,742,306,1120
1,1,742,306,1121
1,1,742,306,1122
1,1,742,306,1123
1,1,742,306,1124
1,1,742,306,1125
1,1,742,306,1126
1,1,742,307,1127
1,1,742,307,1128
1,1,742,307,1129
1,1,742,307,1130
1,1,742,307,1131
1,1,742,307,1132
1,1,742,307,1133
1,1,742,307,1134
1,1,740,310,1135
1,1,740,310,1136
1,1,740,310,1137
1,1,740,310,1138
1,1,740,310,1139
1,1,740,310,1140
1,1,740,310,1141
1,1,740,310,1142
1,1,739,311,1143
1,1,739,311,1144
1,1,739,311,1145
1,1,739,311,1146
1,1,739,311,1147
1,1,739,311,1148
1,1,739,311,1149
1,1,739,311,1150
1,1,738,313,1152
1,1,738,313,1153
1,1,738,313,1154
1,1,738,313,1155
1,1,738,313,1156
1,1,738,313,1157
1,1,738,313,1158
1,1,736,316,1159
1,1,736,316,1160
1,1,736,316,1161
1,1,736,316,1162
1,1,736,316,1163
1,1,736,316,1164
1,1,736,316,1165
1,1,736,318,1166
1,1,736,318,1167
1,1,736,318,1168
1,1,736,318,1169
1,1,736,318,1170
1,1,736,318,1171
1,1,736,318,1172
1,1,736,318,1173
1,1,736,318,1174
1,1,734,320,1175
1,1,734,320,1176
1,1,734,320,1177
1,1,734,320,1178
1,1,734,320,1179
1,1,734,320,1180
1,1,734,320,1181
