TaskNo,PartNo,GazePointX,GazePointY,Time
1,1,742,734,2446
1,1,744,743,2449
1,1,747,742,2453
1,1,743,745,2456
1,1,749,746,2459
1,1,773,754,2463
1,1,800,768,2466
1,1,820,780,2470
1,1,838,788,2473
1,1,861,787,2476
1,1,870,800,2479
1,1,874,792,2483
1,1,868,804,2486
1,1,862,795,2489
1,1,857,797,2493
1,1,859,793,2496
1,1,858,787,2499
1,1,863,789,2503
1,1,864,797,2506
1,1,867,790,2509
1,1,866,787,2513
1,1,866,797,2516
1,1,866,805,2519
1,1,868,803,2523
1,1,862,805,2526
1,1,866,792,2529
1,1,866,796,2533
1,1,866,782,2536
1,1,866,797,2539
1,1,867,797,2543
1,1,868,786,2546
1,1,866,793,2549
1,1,864,798,2553
1,1,864,793,2556
1,1,863,794,2559
1,1,864,798,2563
1,1,866,793,2566
1,1,862,802,2569
1,1,868,798,2573
1,1,864,792,2576
1,1,867,797,2579
1,1,865,784,2583
1,1,864,793,2586
1,1,865,799,2589
1,1,862,797,2593
1,1,863,796,2596
1,1,866,798,2599
1,1,870,795,2603
1,1,870,789,2606
1,1,867,790,2609
1,1,864,803,2613
1,1,866,800,2616
1,1,866,796,2619
1,1,867,806,2623
1,1,867,802,2626
1,1,865,791,2629
1,1,867,791,2633
1,1,866,798,2636
1,1,870,794,2639
1,1,864,788,2643
1,1,861,802,2646
1,1,863,797,2649
1,1,861,803,2653
1,1,861,796,2656
1,1,866,806,2659
1,1,866,802,2663
1,1,870,796,2666
1,1,870,802,2669
1,1,864,803,2673
1,1,866,794,2676
1,1,869,803,2679
1,1,866,793,2683
1,1,866,789,2686
1,1,865,798,2689
1,1,862,796,2693
1,1,864,794,2696
1,1,867,796,2699
1,1,867,802,2703
1,1,863,799,2706
1,1,864,802,2709
1,1,867,803,2713
1,1,872,794,2716
1,1,867,791,2719
1,1,863,797,2723
1,1,863,795,2726
1,1,865,801,2729
1,1,863,807,2733
1,1,866,803,2736
1,1,867,801,2739
1,1,867,796,2743
1,1,867,797,2746
1,1,868,797,2749
1,1,866,795,2753
1,1,865,797,2756
1,1,866,793,2759
1,1,864,790,2763
1,1,864,801,2766
1,1,868,793,2769
1,1,866,800,2773
1,1,865,800,2776
1,1,868,793,2779
1,1,869,802,2783
1,1,873,800,2786
1,1,869,794,2789
1,1,869,794,2793
1,1,874,796,2796
1,1,884,805,2799
1,1,907,800,2803
1,1,928,800,2806
1,1,964,811,2809
1,1,992,809,2813
1,1,1004,811,2816
1,1,1019,810,2819
1,1,1023,797,2823
1,1,1007,805,2826
1,1,1001,790,2829
1,1,994,792,2833
1,1,1001,797,2836
1,1,1007,790,2839
1,1,1004,798,2843
1,1,1006,804,2846
1,1,1005,802,2849
1,1,1006,805,2853
1,1,1007,798,2856
1,1,1007,809,2859
1,1,1004,805,2863
1,1,1005,809,2866
1,1,1001,805,2869
1,1,1006,812,2873
1,1,1006,811,2876
1,1,1004,805,2879
1,1,1009,810,2883
1,1,1008,798,2886
1,1,1008,802,2889
1,1,1005,799,2893
1,1,1004,800,2896
1,1,1005,804,2899
1,1,1008,810,2903
1,1,1005,814,2906
1,1,1012,813,2909
1,1,1009,816,2913
1,1,1009,799,2916
1,1,1008,804,2919
1,1,1007,815,2923
1,1,1007,811,2926
1,1,1009,801,2929
1,1,1010,800,2933
1,1,1011,796,2936
1,1,1013,798,2939
1,1,1007,805,2943
1,1,1008,809,2946
1,1,1009,807,2949
1,1,1010,807,2953
1,1,1008,811,2956
1,1,1009,792,2959
1,1,1013,798,2963
1,1,1007,798,2966
1,1,1008,808,2969
1,1,1011,811,2973
1,1,1007,793,2976
1,1,1006,810,2979
1,1,1009,793,2983
1,1,1004,814,2986
1,1,1006,814,2989
1,1,1007,808,2993
1,1,1012,804,2996
1,1,1019,790,2999
1,1,1041,783,3003
1,1,1068,778,3006
1,1,1095,764,3009
1,1,1120,736,3013
1,1,1146,740,3016
1,1,1166,723,3019
1,1,1184,721,3023
1,1,1192,715,3026
1,1,1191,723,3029
1,1,1183,712,3033
1,1,1173,728,3036
1,1,1176,723,3039
1,1,1178,726,3043
1,1,1181,726,3046
1,1,1181,730,3049
1,1,1180,727,3053
1,1,1179,729,3056
1,1,1182,723,3059
1,1,1180,727,3063
1,1,1182,722,3066
1,1,1181,729,3069
1,1,1183,729,3073
1,1,1179,724,3076
1,1,1184,719,3079
1,1,1184,732,3083
1,1,1186,725,3086
1,1,1186,730,3089
1,1,1184,725,3093
1,1,1185,724,3096
1,1,1183,721,3099
1,1,1183,725,3103
1,1,1186,721,3106
1,1,1181,726,3109
1,1,1182,726,3113
1,1,1181,718,3116
1,1,1180,713,3119
1,1,1181,717,3123
1,1,1182,725,3126
1,1,1180,716,3129
1,1,1181,718,3133
1,1,1179,730,3136
1,1,1183,718,3139
